,Name,First_Price,Price,Away From Center,Type,Rating,Reviews
117,Hotel Skypark Myeongdong 3,,US$99,0.6 km from centre,Very good,8.2,633 reviews
118,The Stay Hotel Myeongdong,US$74,US$70,500 m from centre,Review score,6.6,116 reviews
119,Hotel Manu Seoul,US$159,US$151,0.8 km from centre,Very good,8.3,292 reviews
120,Ocloud Hotel Gangnam,,US$111,7.5 km from centre,Good,7.8,727 reviews
121,Noble Hotel,,US$37,1.8 km from centre,Good,7.5,57 reviews
122,Take 1 Guesthouse Hongdae,US$86,US$82,5.1 km from centre,Very good,8.5,364 reviews
123,Hotel NewV,,US$81,8.9 km from centre,Very good,8.3,290 reviews
124,Acube Hotel Dongdaemun,,US$63,1.9 km from centre,Very good,8.4,679 reviews
125,Jerry's Planet,,US$70,8.1 km from centre,Review score,6.0,62 reviews
126,Stay Hotel Gangnam,,US$113,8.4 km from centre,Good,7.9,"1,431 reviews"
127,INNO Guesthouse & Bar Hongdae,US$58,US$34,6 km from centre,Very good,8.5,79 reviews
128,Hotel Peyto Gangnam,,US$137,9.5 km from centre,Very good,8.3,486 reviews
129,First Stay Hotel,US$69,US$66,12.7 km from centre,Good,7.8,345 reviews
130,Hotel DM,,US$54,3.7 km from centre,Very good,8.5,190 reviews
131,Core Livingtel Gangnam,US$27,US$26,8.9 km from centre,Good,7.2,24 reviews
132,Baiton Seoul Dongdaemun,US$94,US$89,1.9 km from centre,Good,7.8,289 reviews
133,Novotel Ambassador Seoul Gangnam,,US$211,7.6 km from centre,Very good,8.1,334 reviews
134,Rian Hotel,,US$98,1.2 km from centre,Good,7.9,225 reviews
135,Hotel Skypark Kingstown Dongdaemun,,US$107,2.5 km from centre,Very good,8.4,909 reviews
136,LEX Tourist Hotel,US$123,US$116,6.3 km from centre,Fabulous,8.9,7 reviews
137,Uljiro Coop Residence Dongdaemun,,US$67,2.2 km from centre,Very good,8.0,254 reviews
138,ZIP Hotel,US$47,US$44,9.5 km from centre,Review score,5.8,70 reviews
139,MyeongDong New Stay Inn,US$62,US$59,0.8 km from centre,Review score,6.8,136 reviews
140,Sotetsu Hotels The Splaisir Seoul Myeongdong,,US$96,200 m from centre,Very good,8.1,663 reviews
141,Hotel Skypark Central Myeongdong,,US$114,450 m from centre,Good,7.8,920 reviews
142,Ibis Ambassador Myeongdong,,US$133,300 m from centre,Very good,8.1,389 reviews
143,Lavita hotel,US$76,US$72,8.1 km from centre,Good,7.0,209 reviews
144,OYO Hostel Dongdaemun1,,US$40,2.2 km from centre,Very good,8.0,165 reviews
145,Hotel PAI Jongno,US$98,US$56,2.1 km from centre,Good,7.5,170 reviews
146,Hostel Korea - Original,US$26,US$25,3.8 km from centre,Review score,6.9,555 reviews
147,Hotel Skypark Myeongdong 1,,US$102,250 m from centre,Very good,8.0,400 reviews
148,AC Hotel by Marriott Seoul Gangnam,,US$215,8.3 km from centre,Fabulous,8.6,139 reviews
149,Itaewon Inn,US$45,US$43,3.2 km from centre,Good,7.6,239 reviews
150,Grid Inn Hotel,,US$105,1.2 km from centre,Fabulous,8.8,372 reviews
151,G3 Hotel Chungmuro,US$180,US$128,1 km from centre,Superb,9.3,14 reviews
152,31page,US$51,US$36,6.4 km from centre,Good,7.7,32 reviews
153,Rich House,US$25,US$23,4 km from centre,Review score,5.3,10 reviews
154,Sunshine Hotel,,US$109,6.2 km from centre,Good,7.8,147 reviews
155,LOTTE City Hotel Mapo,,US$150,3.3 km from centre,Very good,8.4,904 reviews
156,Moxy Seoul Insadong,,US$146,1.4 km from centre,Fabulous,8.6,184 reviews
157,LOTTE City Hotel Myeongdong,,US$163,0.8 km from centre,Very good,8.5,"2,238 reviews"
158,Itaewon Yellow Guesthouse,US$39,US$37,3.6 km from centre,Good,7.4,88 reviews
159,Hostel Metro,US$31,US$30,4.2 km from centre,Review score,5.5,47 reviews
160,Neat House,US$66,US$63,5.5 km from centre,Very good,8.2,64 reviews
161,Hotel Pop Jongno,US$62,US$59,1.3 km from centre,Review score,6.0,2 reviews
162,Nakwon Arcade Sky Motel,,US$39,1.4 km from centre,Good,7.4,5 reviews
163,YaKorea Hostel Gangnam,US$58,US$30,8.4 km from centre,Good,7.7,286 reviews
164,Tripstay Myeongdong,US$53,US$38,1.1 km from centre,Good,7.4,84 reviews
165,Kyoung Dong Hotel Myeongdong,US$77,US$73,0.5 km from centre,Good,7.8,69 reviews
166,Twin Rabbit Guesthouse,US$84,US$80,5.2 km from centre,Very good,8.4,230 reviews
167,Hotel Nafore,,US$104,1.1 km from centre,Very good,8.5,367 reviews
168,Petercat Hotel Shinchon,US$74,US$46,4.1 km from centre,Good,7.5,218 reviews
169,Hotel Gracery Seoul,US$148,US$141,400 m from centre,Fabulous,8.7,"1,692 reviews"
170,SR Hotel Sadang,,US$103,9.4 km from centre,Good,7.9,334 reviews
171,Urban Place Gangnam,,US$103,8.9 km from centre,Good,7.3,388 reviews
172,Novotel Ambassador Seoul Yongsan,,US$191,3.7 km from centre,Very good,8.0,"1,084 reviews"
173,Hotel DDK,,US$72,2.3 km from centre,Very good,8.2,28 reviews
174,Hotel Atrium Jongno,,US$129,1.9 km from centre,Very good,8.2,253 reviews
175,The Ace Hotel,US$70,US$67,8.9 km from centre,Review score,5.2,23 reviews
176,Union Motel,,US$55,3.2 km from centre,Exceptional,9.5,2 reviews
177,"Four Points by Sheraton Josun, Seoul Station",,US$206,1.4 km from centre,Very good,8.1,"2,553 reviews"
178,Patio 7,,US$95,6.5 km from centre,Very good,8.1,197 reviews
179,Hotel Noblesse,,US$35,12.4 km from centre,Review score,5.3,41 reviews
180,Newmond Hotel,US$47,US$44,12.3 km from centre,Very good,8.0,1 review
181,Hotel Kuretakeso Insadong,,US$80,1.3 km from centre,Very good,8.2,419 reviews
182,Life style F Hotel,,US$41,7.9 km from centre,Good,7.9,8 reviews
183,Nana House,US$22,US$21,14.8 km from centre,Good,7.8,81 reviews
184,Life Style S Hotel,US$37,US$35,12.5 km from centre,Good,7.4,26 reviews
185,Hide & Seek Guesthouse,,US$58,1.9 km from centre,Fabulous,8.7,63 reviews
186,Step Inn Myeongdong 2,US$108,US$31,450 m from centre,Very good,8.0,605 reviews
187,Spring Light,US$35,US$33,2.3 km from centre,Good,7.4,234 reviews
188,Hotel Leaders,,US$50,7.9 km from centre,Review score,6.7,77 reviews
189,Oriens Hotel & Residences Myeongdong,US$140,US$109,0.9 km from centre,Very good,8.3,505 reviews
190,Seoul Station R Guesthouse,US$117,US$111,1.6 km from centre,Fabulous,8.7,299 reviews
191,GLAD Mapo,,US$136,3.4 km from centre,Fabulous,8.8,"2,022 reviews"
192,Starria Hostel,US$81,US$77,0.6 km from centre,Fabulous,8.7,115 reviews
193,Tria Business & Boutique Hotel,,US$65,8.3 km from centre,Review score,5.9,134 reviews
194,"InterContinental Seoul COEX, an IHG Hotel",,US$265,8.6 km from centre,Fabulous,8.6,"1,136 reviews"
195,Hotel The Designers Dongdaemun,US$94,US$89,2.2 km from centre,Review score,6.8,456 reviews
196,Hotel Naru Seoul MGallery Ambassador,,US$232,4.3 km from centre,Superb,9.0,4 reviews
197,Creto Hotel Myeongdong,,US$88,0.6 km from centre,Fabulous,8.7,159 reviews
198,Mondrian Seoul Itaewon,,US$195,3.8 km from centre,Very good,8.2,540 reviews
199,Migliore Hotel Seoul Myeongdong,,US$79,350 m from centre,Good,7.5,346 reviews
200,Courtyard by Marriott Seoul Botanic Park,,US$180,13.4 km from centre,Fabulous,8.7,775 reviews
201,Fairfield by Marriott Seoul,,US$86,8.1 km from centre,Good,7.7,553 reviews
202,Stanford Hotel Seoul,,US$83,8.6 km from centre,Very good,8.3,425 reviews
203,OYO Hostel Myeongdong 1,,US$46,350 m from centre,Very good,8.2,122 reviews
204,Choco Residence,US$48,US$45,5.3 km from centre,Superb,9.1,248 reviews
205,Hotel Cullinan 2 Geondae,,US$52,7.9 km from centre,Review score,6.5,31 reviews
206,"Four Points by Sheraton Josun, Seoul Myeongdong",,US$155,0.8 km from centre,Fabulous,8.7,"1,078 reviews"
207,OYO Hostel Myeongdong 2,,US$53,0.6 km from centre,Very good,8.4,168 reviews
208,Hostel Seoul,,US$36,4.1 km from centre,Review score,6.0,155 reviews
209,Myeongdong Sunshine Guesthouse,US$70,US$67,450 m from centre,Very good,8.0,54 reviews
210,"voco Seoul Gangnam, an IHG Hotel",,US$214,6.2 km from centre,Fabulous,8.9,115 reviews
211,Keumkang Motel,US$69,US$66,1.6 km from centre,Good,7.8,95 reviews
212,L7 Hongdae by LOTTE,,US$237,5.3 km from centre,Very good,8.4,"2,094 reviews"
213,Westin Josun Seoul Hotel,,US$223,300 m from centre,Fabulous,8.6,982 reviews
214,GLAD Yeouido,,US$172,6.8 km from centre,Very good,8.4,"1,330 reviews"
215,Hamory Guesthouse Dongdaemun,US$86,US$57,2.5 km from centre,Very good,8.4,72 reviews
216,Hotel28 Myeongdong,,US$201,350 m from centre,Superb,9.2,650 reviews
