,Name,First_Price,Price,Away From Center,Type,Rating,Reviews
71,Pyeongtaek Godeok Rich Stay Hotel,,"BDT 5,683",,Very good,8.2,23 reviews
72,JJ Hotel,,"BDT 6,983",,Review score,6.9,17 reviews
73,Take Hotel,"BDT 15,404","BDT 13,863",,Good,7.2,25 reviews
74,Hotel The May,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""6365709d-3e35-426c-bd6a-8cdb81def233"")>",,Good,7.2,23 reviews
75,The Huesik Wolgot Iro Hotel,,"BDT 16,239",,Good,7.8,5 reviews
76,Roseto Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""a964c675-0ed2-495d-9c56-14e4d5db7bce"")>",,Good,7.3,12 reviews
77,Nami Island Travel Spa Pension,,"BDT 3,978",,Good,7.0,8 reviews
78,Hwaseong Guesthouse,,"BDT 1,624",,Good,7.3,85 reviews
79,25 Hotel,,"BDT 5,278",,,,
80,Siheung Seoul Tourist Hotel,,"BDT 5,683",,Review score,6.8,12 reviews
81,Amare,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""757f3ab4-3129-4fcf-a909-1a62c4ca0fdf"")>",,Good,7.9,75 reviews
82,Bluesky Pension,,"BDT 5,602",,Good,7.7,9 reviews
83,Anseong City Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""d1a08028-8f69-45ad-9676-c1b9f8dfd410"")>",,Good,7.0,26 reviews
84,SS Resort,,"BDT 11,367",,Very good,8.0,1 review
85,Gapyeong Hotel Suiteian,,"BDT 17,862",,Good,7.8,54 reviews
86,Bundang Regency Hotel,,"BDT 6,860",,Review score,6.4,7 reviews
87,Golden Planet Hotel,,"BDT 10,961",,Superb,9.1,10 reviews
88,Bucheon SR Hotel,,"BDT 5,683",,Review score,6.9,32 reviews
89,Haeden Hotel High End Suwon,,"BDT 12,585",,Good,7.9,102 reviews
90,Bluesky Pension,,"BDT 10,555",,Good,7.8,30 reviews
91,Q Hotel Yongin,,"BDT 7,307",,Review score,5.8,103 reviews
92,Hotel Libre,,"BDT 8,119",,Fabulous,8.8,37 reviews
93,Anyang Boutique Hotel AMA,,"BDT 4,872",,Review score,5.9,8 reviews
94,Sun Valley Hotel,,"BDT 10,826",,,,
95,Gimpo Pentastar Hotel,,"BDT 6,881",,Good,7.8,52 reviews
96,Pyeongtaek Stay Hotel 2,,"BDT 5,278",,Good,7.7,42 reviews
97,Guri Hotel In cafe,,"BDT 4,263",,Review score,6.2,12 reviews
98,JS Boutique Hotel,,"BDT 6,333",,Very good,8.2,41 reviews
99,I Want Livingtel,"BDT 2,404","BDT 2,164",,Review score,6.6,28 reviews
100,JS The Classic Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""f747a688-c61f-42d1-889b-0903d509c918"")>",,Review score,6.8,25 reviews
101,Boutique Hotel XYM Pyeongtaek,,"BDT 6,495",,Good,7.5,14 reviews
102,Symphony Hotel,,"BDT 7,583",,Very good,8.3,120 reviews
103,Brown Dot Siheung Geobuksum,,"BDT 17,862",,,,
104,Casa 32 Hotel,,"BDT 15,833",,Review score,5.3,36 reviews
105,Ischia Hotel,,"BDT 7,713",,Good,7.1,46 reviews
106,Anyang Koam Tourist Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""69242511-2177-40d6-838e-aa91e0f638c7"")>",,Review score,6.3,34 reviews
107,Suwon Sunstar Hotel,,"BDT 3,654",,Very good,8.2,22 reviews
108,Docking Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""efbb6727-4755-4822-b742-7a9b7d3408ae"")>",,Very good,8.2,65 reviews
109,JustSleep Namyangju Dasan,,"BDT 8,444",,,,
110,The Nox Hotel,,"BDT 3,978",,Good,7.5,4 reviews
111,Chagall Spa Pension,,"BDT 10,555",,Very good,8.0,3 reviews
112,Four Points by Sheraton Suwon,,"BDT 16,076",,,,
113,Pacific Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""1aed041d-9cd7-4185-b43e-f9ea0b1042b1"")>",,Very good,8.0,17 reviews
114,Hotel Violet,,"BDT 6,901",,Review score,2.3,3 reviews
115,Dongtan BobosHotel,,"BDT 5,683",,Good,7.0,1 review
116,Guri Lexy Hotel,,"BDT 2,842",,Review score,5.7,24 reviews
117,Nami Island Rivera Pension,,"BDT 4,872",,Review score,6.0,2 reviews
118,Uijeongbu Latree Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""9b8f5721-4a4f-4f10-b1af-54b32ad258af"")>",,Review score,6.0,10 reviews
119,YJ Hotel,,"BDT 5,683",,,,
120,Hotel Gaden,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""58e00b08-7e53-4d82-894f-10b43bd7622b"")>",,Good,7.9,58 reviews
121,Calmming in Forest,,"BDT 10,555",,,,
122,Centralplaza hotel,,"BDT 6,942",,Review score,5.0,1 review
123,Galleria Hotel,,"BDT 4,060",,Review score,5.0,1 review
124,It's W,,"BDT 4,060",,Very good,8.5,105 reviews
125,Charm Pension,,"BDT 7,307",,Good,7.2,12 reviews
126,Benikea The H Hotel,,"BDT 13,574",,Good,7.6,21 reviews
127,Interlaken Stay,,"BDT 10,555",,Good,7.1,13 reviews
128,DUNE45,,"BDT 5,278",,Very good,8.0,1 review
129,Amour Hotel,,"<selenium.webdriver.remote.webelement.WebElement (session=""4c9c1fe920d000990fb8f713885de40b"", element=""706789c8-3fbc-4d53-8134-d70626839dff"")>",,Very good,8.1,111 reviews
130,Rosabell Hotel,,"BDT 6,739",,Good,7.9,13 reviews
131,Ansan Seowon Tourist Hotel,,"BDT 6,698",,Review score,6.5,20 reviews
132,Hotel Beautiful,,"BDT 10,555",,,,
133,Saranbang Pension,,"BDT 16,239",,,,
134,Paju Golden Hill,,"BDT 5,445",,Good,7.7,7 reviews
