,0,1,2,3,4,5,6,7,8,9,10,11
111,,112,"SafeMoon [OLD]
SAFEMOON",$0.000000005783,0.0%,-3.1%,-3.8%,$0.00,"$127,556,873",,,
112,,113,"Convex Finance
CVX",$3.84,0.3%,-0.5%,-3.0%,"$3,589,373","$276,579,833",,,
113,,114,"Helium
HNT",$2.05,0.6%,-5.1%,-10.2%,"$1,568,127","$276,191,571",,,
114,,115,"Nexus Mutual
NXM",$40.66,0.3%,-1.0%,-1.7%,"$28,835","$275,538,872",,,
115,,116,"Celo
CELO",$0.565913,0.5%,-5.6%,-20.2%,"$20,806,579","$271,210,060",,,
116,,117,"ECOMI
OMI",$0.00098802,0.1%,-1.8%,0.5%,"$1,062,572","$268,481,595",,,
117,,118,"Bitcoin Gold
BTG",$15.15,1.3%,-0.2%,-2.5%,"$8,957,825","$266,308,997",,,
118,,119,"Olympus
OHM",$9.31,0.5%,0.8%,1.2%,"$791,427","$265,467,564",,,
119,,120,"Celsius Network
CEL",$0.626392,-0.0%,-2.7%,20.4%,"$1,718,590","$264,806,024",,,
120,,121,"Bitget Token
BGB",$0.188293,0.5%,0.7%,-0.9%,"$3,084,687","$263,471,998",,,
121,,122,"Compound
COMP",$37.74,0.2%,-4.1%,-0.1%,"$14,122,696","$258,412,868",,,
122,,123,"Kusama
KSM",$28.66,0.2%,-4.4%,-2.8%,"$14,526,067","$257,200,136",,,
123,,124,"Ravencoin
RVN",$0.02149574,0.5%,-2.2%,-2.8%,"$9,549,638","$255,839,292",,,
124,,125,"Theta Fuel
TFUEL",$0.04218254,0.3%,-4.6%,-9.5%,"$5,822,318","$251,509,156",,,
125,,126,"TerraClassicUSD
USTC",$0.02516235,-0.3%,4.7%,12.8%,"$27,982,270","$246,052,604",,,
126,,127,"STEPN
GMT",$0.400282,0.2%,-0.3%,1.1%,"$61,103,763","$239,927,303",,,
127,,128,"Band Protocol
BAND",$1.94,0.2%,-3.9%,-9.4%,"$25,122,916","$234,436,730",,,
128,,129,"Maiar DEX
MEX",$0.00003376,-0.2%,-6.0%,-4.9%,"$749,531","$231,206,374",,,
129,,130,"Escoin
ELG",$3.25,0.2%,-0.3%,-0.2%,"$347,929","$107,566,970",,,
130,,131,"Gnosis
GNO",$88.27,-0.0%,-1.7%,-4.2%,"$1,985,660","$228,751,130",,,
131,,132,"Qtum
QTUM",$2.18,0.6%,-5.3%,-1.0%,"$26,663,018","$227,803,337",,,
132,,133,"SwissBorg
CHSB",$0.234028,-0.5%,-0.0%,-2.8%,"$177,038","$223,006,666",,,
133,,134,"Balancer
BAL",$5.84,0.5%,-2.1%,-5.2%,"$3,893,507","$222,063,335",,,
134,,135,"Golem
GLM",$0.221297,0.5%,-3.5%,-1.0%,"$4,966,588","$221,497,803",,,
135,,136,"Rocket Pool ETH
RETH","$1,352.60",0.3%,-1.3%,-2.0%,"$1,000,023","$220,728,666",,,
136,,137,"Huobi BTC
HBTC","$16,994.50",-0.1%,-0.8%,-1.0%,"$903,530","$220,512,858",,,
137,,138,"Optimism
OP",$1.02,-0.1%,-2.9%,-4.5%,"$56,396,500","$218,347,462",,,
138,,139,"Sushi
SUSHI",$1.13,0.9%,-3.8%,-16.4%,"$72,892,348","$217,963,096",,,
139,,140,"Oasis Network
ROSE",$0.04335022,0.3%,-3.8%,-8.2%,"$30,710,525","$217,922,911",,,
140,,141,"Euro Tether
EURT",$1.05,0.2%,0.4%,-0.1%,"$380,281","$216,298,758",,,
141,,142,"dYdX
DYDX",$1.54,1.1%,-5.4%,-17.3%,"$45,493,386","$214,495,865",,,
142,,143,"IoTeX
IOTX",$0.02262849,0.5%,-3.7%,-6.4%,"$3,744,830","$212,580,818",,,
143,,144,"yearn.finance
YFI","$6,728.56",0.7%,-3.4%,-8.4%,"$19,672,839","$209,936,913",,,
144,,145,"Kadena
KDA",$0.982529,0.8%,-3.1%,-10.7%,"$4,447,234","$208,365,616",,,
145,,146,"Mask Network
MASK",$3.02,0.6%,-8.5%,-21.2%,"$90,579,309","$205,241,314",,,
146,,147,"Tenset
10SET",$1.10,-0.3%,-7.0%,-11.0%,"$311,659","$201,589,979",,,
147,,148,"Aleph Zero
AZERO",$0.983347,0.9%,1.2%,5.4%,"$1,138,578","$200,771,350",,,
148,,149,"Magic
MAGIC",$0.929205,13.4%,80.6%,67.0%,"$129,232,871","$198,159,449",,,
149,,150,"IOST
IOST",$0.00823019,0.4%,-4.8%,-4.4%,"$6,553,869","$194,407,862",,,
150,,151,"JUST
JST",$0.02179006,0.0%,-4.7%,-1.9%,"$25,507,886","$194,265,369",,,
151,,152,"Polymath
POLY",$0.213650,1.8%,-0.8%,-5.8%,"$1,243,989","$192,918,666",,,
152,,153,"Amp
AMP",$0.00342971,0.3%,-1.3%,-2.2%,"$2,421,760","$192,349,974",,,
153,,154,"Moonbeam
GLMR",$0.389326,-0.2%,-4.1%,-3.0%,"$8,709,074","$189,086,535",,,
154,,155,"Liquity USD
LUSD",$1.04,0.1%,-0.0%,0.4%,"$907,470","$187,816,858",,,
155,,156,"GALA
GALA",$0.02493870,0.5%,-2.8%,-1.3%,"$56,619,168","$187,766,236",,,
156,,157,"Chia
XCH",$31.60,0.1%,-0.2%,-1.1%,"$4,000,457","$186,420,958",,,
157,,158,"Waves
WAVES",$1.87,1.5%,-8.5%,-20.9%,"$31,980,850","$184,601,123",,,
158,,159,"Dogelon Mars
ELON",$0.000000327427,0.9%,-4.4%,-0.5%,"$2,211,983","$180,428,882",,,
159,,160,"Bone ShibaSwap
BONE",$0.782656,-2.5%,-3.2%,-13.3%,"$3,959,359","$179,664,146",,,
160,,161,"Livepeer
LPT",$6.84,0.2%,-5.9%,-8.7%,"$5,538,452","$179,063,229",,,
161,,162,"Telcoin
TEL",$0.00261161,-0.7%,-8.2%,-18.9%,"$1,104,047","$175,199,236",,,
162,,163,"Baby Doge Coin
BABYDOGE",$0.000000001068,0.1%,-3.5%,-4.4%,"$2,020,798","$173,755,666",,,
163,,164,"Alchemix USD
ALUSD",$0.989915,-0.0%,0.0%,-0.5%,"$31,321","$173,069,603",,,
164,,165,"Harmony
ONE",$0.01396478,0.5%,-2.7%,-6.3%,"$7,227,930","$171,707,850",,,
165,,166,"Ankr
ANKR",$0.02069305,0.4%,-3.7%,-5.7%,"$9,459,964","$168,657,405",,,
166,,167,"Reserve Rights
RSR",$0.00395031,0.5%,-3.3%,-4.2%,"$5,418,932","$166,831,455",,,
167,,168,"Energy Web
EWT",$3.80,0.6%,-1.5%,-7.6%,"$1,064,935","$166,821,274",,,
168,,169,"Convex CRV
CVXCRV",$0.573842,0.3%,-4.7%,-9.0%,"$994,357","$164,637,112",,,
169,,170,"Bitkub Coin
KUB",$1.82,0.5%,-5.7%,-8.2%,"$1,395,923","$162,308,594",,,
170,,171,"Astar
ASTR",$0.04224498,1.1%,-3.3%,0.3%,"$2,546,824","$160,797,295",,,
171,,172,"0x
ZRX",$0.189465,0.5%,-5.3%,-4.1%,"$15,133,612","$160,694,475",,,
172,,173,"OMG Network
OMG",$1.14,0.2%,-4.6%,-5.9%,"$50,374,978","$159,567,623",,,
173,,174,"ICON
ICX",$0.174994,0.2%,-5.0%,-6.1%,"$5,275,483","$157,107,662",,,
174,,175,"Ontology
ONT",$0.177938,0.2%,-4.6%,-5.3%,"$8,745,717","$155,777,957",,,
175,,176,"Beldex
BDX",$0.03870035,0.1%,-0.0%,-1.9%,"$1,379,619","$155,576,563",,,
176,,177,"Evmos
EVMOS",$0.408221,1.2%,-12.7%,-34.0%,"$1,221,467","$151,796,735",,,
177,,178,"Bitgert
BRISE",$0.000000380092,0.3%,-4.2%,-8.5%,"$846,827","$150,545,596",,,
178,,179,"CoinEx
CET",$0.04689194,0.7%,-0.7%,1.2%,"$314,959","$149,742,136",,,
179,,180,"Nest Protocol
NEST",$0.02497212,-0.4%,0.6%,6.4%,"$2,362,417","$148,010,858",,,
180,,181,"Render
RNDR",$0.491188,-0.5%,-5.5%,-4.8%,"$8,250,783","$147,542,037",,,
181,,182,"Gains Farm
GFARM2","$4,056.53",?,?,?,?,"$145,357,770",,,
182,,183,"SafePal
SFP",$0.455387,0.4%,-4.5%,-3.6%,"$9,186,927","$147,004,853",,,
183,,184,"Ribbon Finance
RBN",$0.246459,-0.1%,-5.1%,-5.6%,"$700,909","$145,689,763",,,
184,,185,"SafeMoon
SFM",$0.00025861,-1.6%,3.0%,-1.0%,"$552,813","$144,799,629",,,
185,,186,"LINK
LN",$22.57,0.4%,-2.3%,-5.7%,"$622,112","$144,530,881",,,
186,,187,"WOO Network
WOO",$0.120777,0.3%,-4.5%,-2.0%,"$12,786,402","$144,255,244",,,
187,,188,"Flux
FLUX",$0.494002,0.7%,-4.1%,-11.4%,"$3,393,859","$140,564,327",,,
188,,189,"Secret
SCRT",$0.742659,0.4%,-6.6%,-10.7%,"$5,531,072","$139,761,242",,,
189,,190,"BinaryX
BNX",$52.58,-1.9%,3.5%,-23.4%,"$9,207,198","$138,720,773",,,
190,,191,"Audius
AUDIO",$0.147971,0.1%,-3.9%,-11.4%,"$3,784,199","$137,450,709",,,
191,,192,"NuCypher
NU",$0.104221,0.1%,-2.1%,-3.2%,"$2,170,644","$132,303,731",,,
192,,193,"Siacoin
SC",$0.00254614,0.8%,-3.2%,-4.4%,"$5,005,260","$131,232,581",,,
193,,194,"Horizen
ZEN",$9.97,0.2%,-2.9%,-9.3%,"$4,901,275","$130,767,436",,,
194,,195,"WAX
WAXP",$0.056364,0.4%,-4.9%,-6.7%,"$4,341,592","$129,663,692",,,
195,,196,"APENFT
NFT",$0.000000462822,0.4%,-1.8%,-1.8%,"$23,507,803","$128,249,517",,,
196,,197,"Merit Circle
MC",$0.397595,0.2%,-3.2%,-7.9%,"$2,376,943","$128,019,448",,,
197,,198,"STASIS EURO
EURS",$1.02,-0.0%,0.3%,1.3%,"$125,334","$126,886,780",,,
198,,199,"Hive
HIVE",$0.340106,0.0%,-5.5%,-8.9%,"$3,095,593","$126,269,485",,,
199,,200,"Injective
INJ",$1.59,0.2%,-4.5%,-2.4%,"$7,153,112","$124,468,226",,,
