,Name,First_Price,Price,Away From Center,Type,Rating,Reviews
93,Mondrian Seoul Itaewon,,"BDT 18,341",3.8 km from centre,Very good,8.2,559 reviews
94,GLAD Gangnam COEX Center,,,9.4 km from centre,Very good,8.2,"1,713 reviews"
95,K9 Myeongdong Hotel,"BDT 11,820","BDT 7,683",0.5 km from centre,Very good,8.0,3 reviews
96,Insadong R Guesthouse,,,1.4 km from centre,Good,7.8,174 reviews
97,Hotel Peyto Gangnam,,"BDT 13,450",9.5 km from centre,Very good,8.3,482 reviews
98,Travelodge Myeongdong Euljiro,,,0.9 km from centre,Good,7.9,513 reviews
99,G Guesthouse Itaewon In Seoul,,"BDT 1,981",3.4 km from centre,Very good,8.1,292 reviews
100,Centermark Hotel Seoul,,"BDT 10,087",1.2 km from centre,Very good,8.4,328 reviews
101,THE CAPSULE Myeongdong,"BDT 2,714","BDT 2,443",1.6 km from centre,Good,7.8,387 reviews
102,New Kukje Hotel,,,0.7 km from centre,Very good,8.5,405 reviews
103,Hotel Skypark Myeongdong 1,,"BDT 11,726",250 m from centre,Very good,8.0,407 reviews
104,Hotel Midcity Myeongdong,,,0.6 km from centre,Fabulous,8.9,159 reviews
105,"voco Seoul Gangnam, an IHG Hotel",,"BDT 16,866",6.2 km from centre,Superb,9.0,131 reviews
106,Dalgona Guesthouse,,,2 km from centre,Very good,8.1,137 reviews
107,K-POP Hotel Seoul Station,,,1 km from centre,Good,7.3,92 reviews
108,Hotel Lumia Myeongdong,,"BDT 8,967",450 m from centre,Good,7.9,34 reviews
109,Shilla Stay Seodaemun,"BDT 28,693","BDT 14,347",1.3 km from centre,Very good,8.0,"1,157 reviews"
110,Sotetsu Hotels The Splaisir Seoul Myeongdong,,,200 m from centre,Very good,8.1,672 reviews
111,LOTTE City Hotel Gimpo Airport,"BDT 17,037","BDT 15,844",15.7 km from centre,Very good,8.4,960 reviews
112,Glue Hotel,"BDT 22,070","BDT 10,814",2.5 km from centre,Very good,8.4,"1,531 reviews"
113,Novotel Ambassador Seoul Yongsan,,"BDT 17,607",3.7 km from centre,Very good,8.0,"1,079 reviews"
114,Shilla Stay Seocho,"BDT 24,658","BDT 14,302",9.1 km from centre,Good,7.8,784 reviews
115,K-Guesthouse Myeongdong 1,,"BDT 5,869",200 m from centre,Very good,8.0,40 reviews
116,Fraser Place Central Seoul,,"BDT 14,481",1 km from centre,Very good,8.5,"1,025 reviews"
117,Huayuanhouse HQ in hongdae,,"BDT 3,098",5.3 km from centre,Very good,8.1,250 reviews
118,Novotel Ambassador Seoul Dongdaemun Hotels & Residences,,"BDT 16,629",2.1 km from centre,Very good,8.2,974 reviews
119,Namsan Forest in Myeongdong,"BDT 9,537","BDT 7,153",400 m from centre,Good,7.3,319 reviews
120,Seoul Cube Itaewon,,"BDT 3,668",3.4 km from centre,Very good,8.3,232 reviews
121,The Cube Hotel,,,,,,
